item,itemLabel,startDate,endDate
Q560239,Anna Elisabeth Haselbach,2000-01-01,2000-06-30
Q1695764,Johann Payer,2000-07-01,2000-12-27
Q6450494,Johanna Auer,2000-12-28,2000-12-31
Q1510603,Gerd Klamt,2001-01-01,2001-06-30
Q2645870,Alfred Schöls,2001-07-01,2001-12-31
Q2502729,Uta Barbara Pühringer,2002-01-01,2002-06-30
Q1874225,Ludwig Bieringer,2002-07-01,2002-12-31
Q1614884,Herwig Hösele,2003-01-01,2003-06-30
Q1578444,Hans Ager,2003-07-01,2003-12-31
Q1717816,Jürgen Weiss,2004-01-01,2004-06-30
Q560239,Anna Elisabeth Haselbach,2004-07-01,2004-12-31
Q1505584,Georg Pehm,2005-01-01,2005-06-30
Q2077087,Peter Mitterer,2005-07-01,2005-12-31
Q87700,Sissy Roth-Halvax,2006-01-01,2006-06-30
Q1496647,Gottfried Kneifel,2006-07-01,2006-12-31
Q1889411,Manfred Gruber,2007-01-01,2007-06-30
Q2589544,Wolfgang Erlitz,2007-07-01,2007-12-31
Q1603817,Helmut Kritzinger,2008-01-01,2008-06-30
Q1717816,Jürgen Weiss,2008-07-01,2008-12-31
Q87681,Harald Reisenberger,2009-01-01,2009-06-30
Q1363342,Erwin Preiner,2009-07-01,2009-12-31
Q2077087,Peter Mitterer,2010-01-01,2010-06-30
Q1544651,Martin Preineder,2010-07-01,2010-12-31
Q1496647,Gottfried Kneifel,2011-01-01,2011-06-30
Q2369393,Susanne Neuwirth,2011-07-01,2011-12-31
Q1545085,Gregor Hammerl,2012-01-01,2012-06-30
Q1343110,Georg Keuschnigg,2012-07-01,2012-12-31
Q1284037,Edgar Mayer,2013-01-01,2013-06-30
Q1430096,Reinhard Todt,2013-07-01,2013-12-31
Q15835060,Michael Lampel,2014-01-01,2014-06-30
Q482717,Ana Blatnik,2014-07-01,2014-12-31
Q2301751,Sonja Zwazl,2015-01-01,2015-06-30
Q1496647,Gottfried Kneifel,2015-07-01,2015-12-31
Q1705598,Josef Saller,2016-01-01,2016-06-30
Q20753028,Mario Lindner,2016-07-01,2016-12-31
Q2301681,Sonja Ledl-Rossmann,2017-01-01,2017-06-30
Q1284037,Edgar Mayer,2017-07-01,2017-12-31
Q1430096,Reinhard Todt,2018-01-01,2018-06-30
Q1662814,Inge Posch-Gruska,2018-07-01,2018-12-31
Q52241751,Ingo Appé,2019-01-01,2019-06-30
Q1303169,Karl Bader,2019-07-01,2019-12-31
Q28465790,Robert Seeber,2020-01-01,2020-06-30
Q493834,Andrea Eder-Gitschthaler,2020-07-01,2020-12-31
Q88360,Christian Buchmann,2021-01-01,2021-06-30
Q51489014,Peter Raggl,2021-07-01,2021-12-31
Q81414501,Christine Schwarz-Fuchs,2022-01-01,2022-06-30
Q54553858,Korinna Schumann,2022-07-01,2022-12-31
